Player,G,GS,PA,AB,H,1B,2B,3B,HR,SB,CS,BB,HBP,SH,SF,TBp,TBp / PA,,,
Eloy Jimenez,55,55,226,213,63,35,14,0,14,0,0,12,0,0,1,132,0.584070796,,,
Kyle Tucker,58,56,228,209,56,29,12,6,9,8,1,18,0,0,1,133,0.583333333,,,
Eric Hosmer,38,37,156,143,41,26,6,0,9,4,0,9,2,0,2,91,0.583333333,,,
Rowdy Tellez,35,29,127,113,32,19,5,0,8,0,1,11,1,0,2,74,0.582677165,,,
José Iglesias,39,35,150,142,53,33,17,0,3,0,0,3,4,0,1,87,0.58,,,
Michael Conforto,54,53,233,202,65,44,12,0,9,3,3,24,7,0,0,135,0.579399142,,,
Willi Castro,36,35,140,129,45,33,4,2,6,0,1,7,1,1,2,81,0.578571429,,,
Josh Donaldson,28,25,102,81,18,10,2,0,6,0,0,18,2,0,1,59,0.578431373,,,
Lourdes Gurriel Jr.,57,52,224,208,64,39,14,0,11,3,1,14,0,0,2,129,0.575892857,,,
Adam Duvall,57,47,209,190,45,21,8,0,16,0,0,15,3,0,1,120,0.574162679,,,
DJ Stewart,31,30,112,88,17,8,2,0,7,0,0,20,2,2,0,64,0.571428571,,,
Robinson Cano,49,46,182,171,54,35,9,0,10,0,0,9,1,0,1,104,0.571428571,,,
Jedd Gyorko,42,35,135,117,29,17,3,0,9,0,0,15,1,0,2,77,0.57037037,,,
Tim Anderson,49,49,221,208,67,45,11,1,10,5,2,10,2,0,1,126,0.570135747,,,
Jason Heyward,50,49,181,147,39,25,6,2,6,2,0,30,2,0,2,103,0.569060773,,,
Brandon Nimmo,55,50,225,186,52,33,8,3,8,1,2,33,6,0,0,128,0.568888889,,,
Trent Grisham,59,57,252,215,54,33,8,3,10,10,1,31,3,1,1,143,0.567460317,,,
Ian Happ,57,53,231,198,51,27,11,1,12,1,3,30,2,1,0,131,0.567099567,,,
Matt Chapman,37,36,152,142,33,12,9,2,10,0,0,8,1,0,1,86,0.565789474,,,
JaCoby Jones,30,28,108,97,26,12,9,0,5,1,1,7,3,0,1,61,0.564814815,,,
J.T. Realmuto,47,45,195,173,46,29,6,0,11,4,1,16,6,0,0,110,0.564102564,,,
Gio Urshela,43,42,174,151,45,28,11,0,6,1,0,18,1,0,4,98,0.563218391,,,
Pete Alonso,57,55,239,208,48,26,6,0,16,1,0,24,6,0,1,134,0.560669456,,,
Paul Goldschmidt,58,58,231,191,58,39,13,0,6,1,0,37,1,0,1,129,0.558441558,,,
